"","bin_start_incl","bin_end_notincl","value","target","type","forecast_week"
"1","0","0.1",0,"1 wk ahead","Bin","2020-EW10"
"2","0.1","0.2",0,"1 wk ahead","Bin","2020-EW10"
"3","0.2","0.3",0,"1 wk ahead","Bin","2020-EW10"
"4","0.3","0.4",0,"1 wk ahead","Bin","2020-EW10"
"5","0.4","0.5",0,"1 wk ahead","Bin","2020-EW10"
"6","0.5","0.6",0,"1 wk ahead","Bin","2020-EW10"
"7","0.6","0.7",0,"1 wk ahead","Bin","2020-EW10"
"8","0.7","0.8",0,"1 wk ahead","Bin","2020-EW10"
"9","0.8","0.9",0,"1 wk ahead","Bin","2020-EW10"
"10","0.9","1",0,"1 wk ahead","Bin","2020-EW10"
"11","1","1.1",0,"1 wk ahead","Bin","2020-EW10"
"12","1.1","1.2",0,"1 wk ahead","Bin","2020-EW10"
"13","1.2","1.3",0,"1 wk ahead","Bin","2020-EW10"
"14","1.3","1.4",0,"1 wk ahead","Bin","2020-EW10"
"15","1.4","1.5",0,"1 wk ahead","Bin","2020-EW10"
"16","1.5","1.6",0,"1 wk ahead","Bin","2020-EW10"
"17","1.6","1.7",0,"1 wk ahead","Bin","2020-EW10"
"18","1.7","1.8",0,"1 wk ahead","Bin","2020-EW10"
"19","1.8","1.9",0.001,"1 wk ahead","Bin","2020-EW10"
"20","1.9","2",0.001,"1 wk ahead","Bin","2020-EW10"
"21","2","2.1",0.002,"1 wk ahead","Bin","2020-EW10"
"22","2.1","2.2",0.005,"1 wk ahead","Bin","2020-EW10"
"23","2.2","2.3",0.006,"1 wk ahead","Bin","2020-EW10"
"24","2.3","2.4",0.011,"1 wk ahead","Bin","2020-EW10"
"25","2.4","2.5",0.019,"1 wk ahead","Bin","2020-EW10"
"26","2.5","2.6",0.02,"1 wk ahead","Bin","2020-EW10"
"27","2.6","2.7",0.027,"1 wk ahead","Bin","2020-EW10"
"28","2.7","2.8",0.039,"1 wk ahead","Bin","2020-EW10"
"29","2.8","2.9",0.033,"1 wk ahead","Bin","2020-EW10"
"30","2.9","3",0.054,"1 wk ahead","Bin","2020-EW10"
"31","3","3.1",0.056,"1 wk ahead","Bin","2020-EW10"
"32","3.1","3.2",0.043,"1 wk ahead","Bin","2020-EW10"
"33","3.2","3.3",0.051,"1 wk ahead","Bin","2020-EW10"
"34","3.3","3.4",0.051,"1 wk ahead","Bin","2020-EW10"
"35","3.4","3.5",0.036,"1 wk ahead","Bin","2020-EW10"
"36","3.5","3.6",0.049,"1 wk ahead","Bin","2020-EW10"
"37","3.6","3.7",0.05,"1 wk ahead","Bin","2020-EW10"
"38","3.7","3.8",0.047,"1 wk ahead","Bin","2020-EW10"
"39","3.8","3.9",0.045,"1 wk ahead","Bin","2020-EW10"
"40","3.9","4",0.035,"1 wk ahead","Bin","2020-EW10"
"41","4","4.1",0.032,"1 wk ahead","Bin","2020-EW10"
"42","4.1","4.2",0.025,"1 wk ahead","Bin","2020-EW10"
"43","4.2","4.3",0.032,"1 wk ahead","Bin","2020-EW10"
"44","4.3","4.4",0.018,"1 wk ahead","Bin","2020-EW10"
"45","4.4","4.5",0.018,"1 wk ahead","Bin","2020-EW10"
"46","4.5","4.6",0.025,"1 wk ahead","Bin","2020-EW10"
"47","4.6","4.7",0.017,"1 wk ahead","Bin","2020-EW10"
"48","4.7","4.8",0.018,"1 wk ahead","Bin","2020-EW10"
"49","4.8","4.9",0.015,"1 wk ahead","Bin","2020-EW10"
"50","4.9","5",0.012,"1 wk ahead","Bin","2020-EW10"
"51","5","5.1",0.012,"1 wk ahead","Bin","2020-EW10"
"52","5.1","5.2",0.011,"1 wk ahead","Bin","2020-EW10"
"53","5.2","5.3",0.012,"1 wk ahead","Bin","2020-EW10"
"54","5.3","5.4",0.01,"1 wk ahead","Bin","2020-EW10"
"55","5.4","5.5",0.003,"1 wk ahead","Bin","2020-EW10"
"56","5.5","5.6",0.006,"1 wk ahead","Bin","2020-EW10"
"57","5.6","5.7",0.003,"1 wk ahead","Bin","2020-EW10"
"58","5.7","5.8",0.006,"1 wk ahead","Bin","2020-EW10"
"59","5.8","5.9",0.003,"1 wk ahead","Bin","2020-EW10"
"60","5.9","6",0.002,"1 wk ahead","Bin","2020-EW10"
"61","6","6.1",0.004,"1 wk ahead","Bin","2020-EW10"
"62","6.1","6.2",0.004,"1 wk ahead","Bin","2020-EW10"
"63","6.2","6.3",0.004,"1 wk ahead","Bin","2020-EW10"
"64","6.3","6.4",0.003,"1 wk ahead","Bin","2020-EW10"
"65","6.4","6.5",0.003,"1 wk ahead","Bin","2020-EW10"
"66","6.5","6.6",0.002,"1 wk ahead","Bin","2020-EW10"
"67","6.6","6.7",0.002,"1 wk ahead","Bin","2020-EW10"
"68","6.7","6.8",0.003,"1 wk ahead","Bin","2020-EW10"
"69","6.8","6.9",0.002,"1 wk ahead","Bin","2020-EW10"
"70","6.9","7",0.002,"1 wk ahead","Bin","2020-EW10"
"71","7","7.1",0.002,"1 wk ahead","Bin","2020-EW10"
"72","7.1","7.2",0.002,"1 wk ahead","Bin","2020-EW10"
"73","7.2","7.3",0.001,"1 wk ahead","Bin","2020-EW10"
"74","7.3","7.4",0,"1 wk ahead","Bin","2020-EW10"
"75","7.4","7.5",0.002,"1 wk ahead","Bin","2020-EW10"
"76","7.5","7.6",0,"1 wk ahead","Bin","2020-EW10"
"77","7.6","7.7",0,"1 wk ahead","Bin","2020-EW10"
"78","7.7","7.8",0,"1 wk ahead","Bin","2020-EW10"
"79","7.8","7.9",0.002,"1 wk ahead","Bin","2020-EW10"
"80","7.9","8",0,"1 wk ahead","Bin","2020-EW10"
"81","8","8.1",0,"1 wk ahead","Bin","2020-EW10"
"82","8.1","8.2",0,"1 wk ahead","Bin","2020-EW10"
"83","8.2","8.3",0,"1 wk ahead","Bin","2020-EW10"
"84","8.3","8.4",0,"1 wk ahead","Bin","2020-EW10"
"85","8.4","8.5",0,"1 wk ahead","Bin","2020-EW10"
"86","8.5","8.6",0,"1 wk ahead","Bin","2020-EW10"
"87","8.6","8.7",0,"1 wk ahead","Bin","2020-EW10"
"88","8.7","8.8",0,"1 wk ahead","Bin","2020-EW10"
"89","8.8","8.9",0,"1 wk ahead","Bin","2020-EW10"
"90","8.9","9",0,"1 wk ahead","Bin","2020-EW10"
"91","9","9.1",0,"1 wk ahead","Bin","2020-EW10"
"92","9.1","9.2",0,"1 wk ahead","Bin","2020-EW10"
"93","9.2","9.3",0,"1 wk ahead","Bin","2020-EW10"
"94","9.3","9.4",0,"1 wk ahead","Bin","2020-EW10"
"95","9.4","9.5",0,"1 wk ahead","Bin","2020-EW10"
"96","9.5","9.6",0,"1 wk ahead","Bin","2020-EW10"
"97","9.6","9.7",0.001,"1 wk ahead","Bin","2020-EW10"
"98","9.7","9.8",0,"1 wk ahead","Bin","2020-EW10"
"99","9.8","9.9",0,"1 wk ahead","Bin","2020-EW10"
"100","9.9","10",0,"1 wk ahead","Bin","2020-EW10"
"101","10","10.1",0,"1 wk ahead","Bin","2020-EW10"
"102","10.1","10.2",0,"1 wk ahead","Bin","2020-EW10"
"103","10.2","10.3",0,"1 wk ahead","Bin","2020-EW10"
"104","10.3","10.4",0,"1 wk ahead","Bin","2020-EW10"
"105","10.4","10.5",0,"1 wk ahead","Bin","2020-EW10"
"106","10.5","10.6",0,"1 wk ahead","Bin","2020-EW10"
"107","10.6","10.7",0,"1 wk ahead","Bin","2020-EW10"
"108","10.7","10.8",0,"1 wk ahead","Bin","2020-EW10"
"109","10.8","10.9",0,"1 wk ahead","Bin","2020-EW10"
"110","10.9","11",0,"1 wk ahead","Bin","2020-EW10"
"111","11","11.1",0,"1 wk ahead","Bin","2020-EW10"
"112","11.1","11.2",0,"1 wk ahead","Bin","2020-EW10"
"113","11.2","11.3",0,"1 wk ahead","Bin","2020-EW10"
