"","bin_start_incl","bin_end_notincl","value","target","type","forecast_week"
"114","11.3","11.4",0,"1 wk ahead","Bin","2020-EW10"
"115","11.4","11.5",0,"1 wk ahead","Bin","2020-EW10"
"116","11.5","11.6",0,"1 wk ahead","Bin","2020-EW10"
"117","11.6","11.7",0,"1 wk ahead","Bin","2020-EW10"
"118","11.7","11.8",0,"1 wk ahead","Bin","2020-EW10"
"119","11.8","11.9",0,"1 wk ahead","Bin","2020-EW10"
"120","11.9","12",0,"1 wk ahead","Bin","2020-EW10"
"121","12","12.1",0,"1 wk ahead","Bin","2020-EW10"
"122","12.1","12.2",0,"1 wk ahead","Bin","2020-EW10"
"123","12.2","12.3",0,"1 wk ahead","Bin","2020-EW10"
"124","12.3","12.4",0,"1 wk ahead","Bin","2020-EW10"
"125","12.4","12.5",0,"1 wk ahead","Bin","2020-EW10"
"126","12.5","12.6",0,"1 wk ahead","Bin","2020-EW10"
"127","12.6","12.7",0,"1 wk ahead","Bin","2020-EW10"
"128","12.7","12.8",0,"1 wk ahead","Bin","2020-EW10"
"129","12.8","12.9",0,"1 wk ahead","Bin","2020-EW10"
"130","12.9","13",0,"1 wk ahead","Bin","2020-EW10"
"131","13","100",0,"1 wk ahead","Bin","2020-EW10"
"132","0","0.1",0,"2 wk ahead","Bin","2020-EW10"
"133","0.1","0.2",0,"2 wk ahead","Bin","2020-EW10"
"134","0.2","0.3",0,"2 wk ahead","Bin","2020-EW10"
"135","0.3","0.4",0,"2 wk ahead","Bin","2020-EW10"
"136","0.4","0.5",0,"2 wk ahead","Bin","2020-EW10"
"137","0.5","0.6",0,"2 wk ahead","Bin","2020-EW10"
"138","0.6","0.7",0,"2 wk ahead","Bin","2020-EW10"
"139","0.7","0.8",0,"2 wk ahead","Bin","2020-EW10"
"140","0.8","0.9",0,"2 wk ahead","Bin","2020-EW10"
"141","0.9","1",0,"2 wk ahead","Bin","2020-EW10"
"142","1","1.1",0,"2 wk ahead","Bin","2020-EW10"
"143","1.1","1.2",0,"2 wk ahead","Bin","2020-EW10"
"144","1.2","1.3",0,"2 wk ahead","Bin","2020-EW10"
"145","1.3","1.4",0,"2 wk ahead","Bin","2020-EW10"
"146","1.4","1.5",0,"2 wk ahead","Bin","2020-EW10"
"147","1.5","1.6",0,"2 wk ahead","Bin","2020-EW10"
"148","1.6","1.7",0.001,"2 wk ahead","Bin","2020-EW10"
"149","1.7","1.8",0.002,"2 wk ahead","Bin","2020-EW10"
"150","1.8","1.9",0.01,"2 wk ahead","Bin","2020-EW10"
"151","1.9","2",0.003,"2 wk ahead","Bin","2020-EW10"
"152","2","2.1",0.012,"2 wk ahead","Bin","2020-EW10"
"153","2.1","2.2",0.015,"2 wk ahead","Bin","2020-EW10"
"154","2.2","2.3",0.03,"2 wk ahead","Bin","2020-EW10"
"155","2.3","2.4",0.02,"2 wk ahead","Bin","2020-EW10"
"156","2.4","2.5",0.028,"2 wk ahead","Bin","2020-EW10"
"157","2.5","2.6",0.036,"2 wk ahead","Bin","2020-EW10"
"158","2.6","2.7",0.047,"2 wk ahead","Bin","2020-EW10"
"159","2.7","2.8",0.041,"2 wk ahead","Bin","2020-EW10"
"160","2.8","2.9",0.051,"2 wk ahead","Bin","2020-EW10"
"161","2.9","3",0.052,"2 wk ahead","Bin","2020-EW10"
"162","3","3.1",0.042,"2 wk ahead","Bin","2020-EW10"
"163","3.1","3.2",0.054,"2 wk ahead","Bin","2020-EW10"
"164","3.2","3.3",0.051,"2 wk ahead","Bin","2020-EW10"
"165","3.3","3.4",0.044,"2 wk ahead","Bin","2020-EW10"
"166","3.4","3.5",0.038,"2 wk ahead","Bin","2020-EW10"
"167","3.5","3.6",0.032,"2 wk ahead","Bin","2020-EW10"
"168","3.6","3.7",0.031,"2 wk ahead","Bin","2020-EW10"
"169","3.7","3.8",0.036,"2 wk ahead","Bin","2020-EW10"
"170","3.8","3.9",0.038,"2 wk ahead","Bin","2020-EW10"
"171","3.9","4",0.026,"2 wk ahead","Bin","2020-EW10"
"172","4","4.1",0.031,"2 wk ahead","Bin","2020-EW10"
"173","4.1","4.2",0.026,"2 wk ahead","Bin","2020-EW10"
"174","4.2","4.3",0.023,"2 wk ahead","Bin","2020-EW10"
"175","4.3","4.4",0.026,"2 wk ahead","Bin","2020-EW10"
"176","4.4","4.5",0.014,"2 wk ahead","Bin","2020-EW10"
"177","4.5","4.6",0.021,"2 wk ahead","Bin","2020-EW10"
"178","4.6","4.7",0.022,"2 wk ahead","Bin","2020-EW10"
"179","4.7","4.8",0.01,"2 wk ahead","Bin","2020-EW10"
"180","4.8","4.9",0.006,"2 wk ahead","Bin","2020-EW10"
"181","4.9","5",0.015,"2 wk ahead","Bin","2020-EW10"
"182","5","5.1",0.006,"2 wk ahead","Bin","2020-EW10"
"183","5.1","5.2",0.006,"2 wk ahead","Bin","2020-EW10"
"184","5.2","5.3",0.007,"2 wk ahead","Bin","2020-EW10"
"185","5.3","5.4",0.007,"2 wk ahead","Bin","2020-EW10"
"186","5.4","5.5",0.007,"2 wk ahead","Bin","2020-EW10"
"187","5.5","5.6",0.002,"2 wk ahead","Bin","2020-EW10"
"188","5.6","5.7",0.004,"2 wk ahead","Bin","2020-EW10"
"189","5.7","5.8",0.001,"2 wk ahead","Bin","2020-EW10"
"190","5.8","5.9",0.001,"2 wk ahead","Bin","2020-EW10"
"191","5.9","6",0.003,"2 wk ahead","Bin","2020-EW10"
"192","6","6.1",0.003,"2 wk ahead","Bin","2020-EW10"
"193","6.1","6.2",0,"2 wk ahead","Bin","2020-EW10"
"194","6.2","6.3",0,"2 wk ahead","Bin","2020-EW10"
"195","6.3","6.4",0.002,"2 wk ahead","Bin","2020-EW10"
"196","6.4","6.5",0.004,"2 wk ahead","Bin","2020-EW10"
"197","6.5","6.6",0.001,"2 wk ahead","Bin","2020-EW10"
"198","6.6","6.7",0.003,"2 wk ahead","Bin","2020-EW10"
"199","6.7","6.8",0,"2 wk ahead","Bin","2020-EW10"
"200","6.8","6.9",0.001,"2 wk ahead","Bin","2020-EW10"
"201","6.9","7",0.002,"2 wk ahead","Bin","2020-EW10"
"202","7","7.1",0.002,"2 wk ahead","Bin","2020-EW10"
"203","7.1","7.2",0,"2 wk ahead","Bin","2020-EW10"
"204","7.2","7.3",0,"2 wk ahead","Bin","2020-EW10"
"205","7.3","7.4",0,"2 wk ahead","Bin","2020-EW10"
"206","7.4","7.5",0,"2 wk ahead","Bin","2020-EW10"
"207","7.5","7.6",0,"2 wk ahead","Bin","2020-EW10"
"208","7.6","7.7",0,"2 wk ahead","Bin","2020-EW10"
"209","7.7","7.8",0,"2 wk ahead","Bin","2020-EW10"
"210","7.8","7.9",0.001,"2 wk ahead","Bin","2020-EW10"
"211","7.9","8",0,"2 wk ahead","Bin","2020-EW10"
"212","8","8.1",0,"2 wk ahead","Bin","2020-EW10"
"213","8.1","8.2",0.001,"2 wk ahead","Bin","2020-EW10"
"214","8.2","8.3",0,"2 wk ahead","Bin","2020-EW10"
"215","8.3","8.4",0,"2 wk ahead","Bin","2020-EW10"
"216","8.4","8.5",0,"2 wk ahead","Bin","2020-EW10"
"217","8.5","8.6",0,"2 wk ahead","Bin","2020-EW10"
"218","8.6","8.7",0,"2 wk ahead","Bin","2020-EW10"
"219","8.7","8.8",0,"2 wk ahead","Bin","2020-EW10"
"220","8.8","8.9",0,"2 wk ahead","Bin","2020-EW10"
"221","8.9","9",0,"2 wk ahead","Bin","2020-EW10"
"222","9","9.1",0,"2 wk ahead","Bin","2020-EW10"
"223","9.1","9.2",0.001,"2 wk ahead","Bin","2020-EW10"
"224","9.2","9.3",0,"2 wk ahead","Bin","2020-EW10"
"225","9.3","9.4",0,"2 wk ahead","Bin","2020-EW10"
"226","9.4","9.5",0,"2 wk ahead","Bin","2020-EW10"
"227","9.5","9.6",0,"2 wk ahead","Bin","2020-EW10"
"228","9.6","9.7",0,"2 wk ahead","Bin","2020-EW10"
"229","9.7","9.8",0,"2 wk ahead","Bin","2020-EW10"
"230","9.8","9.9",0,"2 wk ahead","Bin","2020-EW10"
"231","9.9","10",0,"2 wk ahead","Bin","2020-EW10"
"232","10","10.1",0,"2 wk ahead","Bin","2020-EW10"
"233","10.1","10.2",0,"2 wk ahead","Bin","2020-EW10"
"234","10.2","10.3",0,"2 wk ahead","Bin","2020-EW10"
"235","10.3","10.4",0,"2 wk ahead","Bin","2020-EW10"
"236","10.4","10.5",0.001,"2 wk ahead","Bin","2020-EW10"
"237","10.5","10.6",0,"2 wk ahead","Bin","2020-EW10"
"238","10.6","10.7",0,"2 wk ahead","Bin","2020-EW10"
"239","10.7","10.8",0,"2 wk ahead","Bin","2020-EW10"
"240","10.8","10.9",0,"2 wk ahead","Bin","2020-EW10"
"241","10.9","11",0,"2 wk ahead","Bin","2020-EW10"
"242","11","11.1",0,"2 wk ahead","Bin","2020-EW10"
"243","11.1","11.2",0,"2 wk ahead","Bin","2020-EW10"
"244","11.2","11.3",0,"2 wk ahead","Bin","2020-EW10"
"245","11.3","11.4",0,"2 wk ahead","Bin","2020-EW10"
"246","11.4","11.5",0,"2 wk ahead","Bin","2020-EW10"
"247","11.5","11.6",0,"2 wk ahead","Bin","2020-EW10"
"248","11.6","11.7",0,"2 wk ahead","Bin","2020-EW10"
"249","11.7","11.8",0,"2 wk ahead","Bin","2020-EW10"
"250","11.8","11.9",0,"2 wk ahead","Bin","2020-EW10"
"251","11.9","12",0,"2 wk ahead","Bin","2020-EW10"
"252","12","12.1",0,"2 wk ahead","Bin","2020-EW10"
"253","12.1","12.2",0,"2 wk ahead","Bin","2020-EW10"
"254","12.2","12.3",0,"2 wk ahead","Bin","2020-EW10"
"255","12.3","12.4",0,"2 wk ahead","Bin","2020-EW10"
"256","12.4","12.5",0,"2 wk ahead","Bin","2020-EW10"
"257","12.5","12.6",0,"2 wk ahead","Bin","2020-EW10"
"258","12.6","12.7",0,"2 wk ahead","Bin","2020-EW10"
"259","12.7","12.8",0,"2 wk ahead","Bin","2020-EW10"
"260","12.8","12.9",0,"2 wk ahead","Bin","2020-EW10"
"261","12.9","13",0,"2 wk ahead","Bin","2020-EW10"
"262","13","100",0,"2 wk ahead","Bin","2020-EW10"
"263","0","0.1",0,"3 wk ahead","Bin","2020-EW10"
"264","0.1","0.2",0,"3 wk ahead","Bin","2020-EW10"
"265","0.2","0.3",0,"3 wk ahead","Bin","2020-EW10"
"266","0.3","0.4",0,"3 wk ahead","Bin","2020-EW10"
"267","0.4","0.5",0,"3 wk ahead","Bin","2020-EW10"
"268","0.5","0.6",0,"3 wk ahead","Bin","2020-EW10"
"269","0.6","0.7",0,"3 wk ahead","Bin","2020-EW10"
"270","0.7","0.8",0,"3 wk ahead","Bin","2020-EW10"
"271","0.8","0.9",0,"3 wk ahead","Bin","2020-EW10"
"272","0.9","1",0,"3 wk ahead","Bin","2020-EW10"
"273","1","1.1",0,"3 wk ahead","Bin","2020-EW10"
"274","1.1","1.2",0,"3 wk ahead","Bin","2020-EW10"
"275","1.2","1.3",0,"3 wk ahead","Bin","2020-EW10"
"276","1.3","1.4",0,"3 wk ahead","Bin","2020-EW10"
"277","1.4","1.5",0,"3 wk ahead","Bin","2020-EW10"
"278","1.5","1.6",0.001,"3 wk ahead","Bin","2020-EW10"
"279","1.6","1.7",0.001,"3 wk ahead","Bin","2020-EW10"
"280","1.7","1.8",0.004,"3 wk ahead","Bin","2020-EW10"
"281","1.8","1.9",0.007,"3 wk ahead","Bin","2020-EW10"
"282","1.9","2",0.006,"3 wk ahead","Bin","2020-EW10"
"283","2","2.1",0.008,"3 wk ahead","Bin","2020-EW10"
"284","2.1","2.2",0.014,"3 wk ahead","Bin","2020-EW10"
"285","2.2","2.3",0.017,"3 wk ahead","Bin","2020-EW10"
"286","2.3","2.4",0.03,"3 wk ahead","Bin","2020-EW10"
"287","2.4","2.5",0.034,"3 wk ahead","Bin","2020-EW10"
"288","2.5","2.6",0.026,"3 wk ahead","Bin","2020-EW10"
"289","2.6","2.7",0.039,"3 wk ahead","Bin","2020-EW10"
"290","2.7","2.8",0.04,"3 wk ahead","Bin","2020-EW10"
"291","2.8","2.9",0.039,"3 wk ahead","Bin","2020-EW10"
"292","2.9","3",0.036,"3 wk ahead","Bin","2020-EW10"
"293","3","3.1",0.037,"3 wk ahead","Bin","2020-EW10"
"294","3.1","3.2",0.042,"3 wk ahead","Bin","2020-EW10"
"295","3.2","3.3",0.047,"3 wk ahead","Bin","2020-EW10"
"296","3.3","3.4",0.044,"3 wk ahead","Bin","2020-EW10"
"297","3.4","3.5",0.037,"3 wk ahead","Bin","2020-EW10"
"298","3.5","3.6",0.034,"3 wk ahead","Bin","2020-EW10"
"299","3.6","3.7",0.032,"3 wk ahead","Bin","2020-EW10"
"300","3.7","3.8",0.043,"3 wk ahead","Bin","2020-EW10"
"301","3.8","3.9",0.024,"3 wk ahead","Bin","2020-EW10"
"302","3.9","4",0.03,"3 wk ahead","Bin","2020-EW10"
"303","4","4.1",0.027,"3 wk ahead","Bin","2020-EW10"
"304","4.1","4.2",0.022,"3 wk ahead","Bin","2020-EW10"
"305","4.2","4.3",0.019,"3 wk ahead","Bin","2020-EW10"
"306","4.3","4.4",0.021,"3 wk ahead","Bin","2020-EW10"
"307","4.4","4.5",0.016,"3 wk ahead","Bin","2020-EW10"
"308","4.5","4.6",0.019,"3 wk ahead","Bin","2020-EW10"
"309","4.6","4.7",0.024,"3 wk ahead","Bin","2020-EW10"
"310","4.7","4.8",0.016,"3 wk ahead","Bin","2020-EW10"
"311","4.8","4.9",0.018,"3 wk ahead","Bin","2020-EW10"
"312","4.9","5",0.016,"3 wk ahead","Bin","2020-EW10"
"313","5","5.1",0.009,"3 wk ahead","Bin","2020-EW10"
"314","5.1","5.2",0.018,"3 wk ahead","Bin","2020-EW10"
"315","5.2","5.3",0.008,"3 wk ahead","Bin","2020-EW10"
"316","5.3","5.4",0.005,"3 wk ahead","Bin","2020-EW10"
"317","5.4","5.5",0.005,"3 wk ahead","Bin","2020-EW10"
"318","5.5","5.6",0.005,"3 wk ahead","Bin","2020-EW10"
"319","5.6","5.7",0.004,"3 wk ahead","Bin","2020-EW10"
"320","5.7","5.8",0.005,"3 wk ahead","Bin","2020-EW10"
"321","5.8","5.9",0.008,"3 wk ahead","Bin","2020-EW10"
"322","5.9","6",0.006,"3 wk ahead","Bin","2020-EW10"
"323","6","6.1",0.002,"3 wk ahead","Bin","2020-EW10"
"324","6.1","6.2",0.002,"3 wk ahead","Bin","2020-EW10"
"325","6.2","6.3",0.01,"3 wk ahead","Bin","2020-EW10"
"326","6.3","6.4",0.002,"3 wk ahead","Bin","2020-EW10"
"327","6.4","6.5",0.006,"3 wk ahead","Bin","2020-EW10"
"328","6.5","6.6",0.003,"3 wk ahead","Bin","2020-EW10"
"329","6.6","6.7",0.003,"3 wk ahead","Bin","2020-EW10"
"330","6.7","6.8",0.001,"3 wk ahead","Bin","2020-EW10"
"331","6.8","6.9",0,"3 wk ahead","Bin","2020-EW10"
"332","6.9","7",0.001,"3 wk ahead","Bin","2020-EW10"
"333","7","7.1",0.002,"3 wk ahead","Bin","2020-EW10"
"334","7.1","7.2",0.001,"3 wk ahead","Bin","2020-EW10"
"335","7.2","7.3",0,"3 wk ahead","Bin","2020-EW10"
"336","7.3","7.4",0.002,"3 wk ahead","Bin","2020-EW10"
"337","7.4","7.5",0,"3 wk ahead","Bin","2020-EW10"
"338","7.5","7.6",0.001,"3 wk ahead","Bin","2020-EW10"
"339","7.6","7.7",0.001,"3 wk ahead","Bin","2020-EW10"
"340","7.7","7.8",0,"3 wk ahead","Bin","2020-EW10"
"341","7.8","7.9",0.001,"3 wk ahead","Bin","2020-EW10"
"342","7.9","8",0.002,"3 wk ahead","Bin","2020-EW10"
"343","8","8.1",0.001,"3 wk ahead","Bin","2020-EW10"
"344","8.1","8.2",0.001,"3 wk ahead","Bin","2020-EW10"
"345","8.2","8.3",0,"3 wk ahead","Bin","2020-EW10"
"346","8.3","8.4",0,"3 wk ahead","Bin","2020-EW10"
"347","8.4","8.5",0,"3 wk ahead","Bin","2020-EW10"
"348","8.5","8.6",0.002,"3 wk ahead","Bin","2020-EW10"
"349","8.6","8.7",0.001,"3 wk ahead","Bin","2020-EW10"
"350","8.7","8.8",0,"3 wk ahead","Bin","2020-EW10"
"351","8.8","8.9",0.002,"3 wk ahead","Bin","2020-EW10"
"352","8.9","9",0.002,"3 wk ahead","Bin","2020-EW10"
"353","9","9.1",0.001,"3 wk ahead","Bin","2020-EW10"
"354","9.1","9.2",0.001,"3 wk ahead","Bin","2020-EW10"
"355","9.2","9.3",0,"3 wk ahead","Bin","2020-EW10"
"356","9.3","9.4",0,"3 wk ahead","Bin","2020-EW10"
"357","9.4","9.5",0,"3 wk ahead","Bin","2020-EW10"
"358","9.5","9.6",0,"3 wk ahead","Bin","2020-EW10"
"359","9.6","9.7",0,"3 wk ahead","Bin","2020-EW10"
"360","9.7","9.8",0,"3 wk ahead","Bin","2020-EW10"
"361","9.8","9.9",0,"3 wk ahead","Bin","2020-EW10"
"362","9.9","10",0,"3 wk ahead","Bin","2020-EW10"
"363","10","10.1",0,"3 wk ahead","Bin","2020-EW10"
"364","10.1","10.2",0.002,"3 wk ahead","Bin","2020-EW10"
"365","10.2","10.3",0,"3 wk ahead","Bin","2020-EW10"
"366","10.3","10.4",0.001,"3 wk ahead","Bin","2020-EW10"
"367","10.4","10.5",0,"3 wk ahead","Bin","2020-EW10"
"368","10.5","10.6",0,"3 wk ahead","Bin","2020-EW10"
"369","10.6","10.7",0,"3 wk ahead","Bin","2020-EW10"
"370","10.7","10.8",0.001,"3 wk ahead","Bin","2020-EW10"
"371","10.8","10.9",0,"3 wk ahead","Bin","2020-EW10"
"372","10.9","11",0,"3 wk ahead","Bin","2020-EW10"
"373","11","11.1",0,"3 wk ahead","Bin","2020-EW10"
"374","11.1","11.2",0,"3 wk ahead","Bin","2020-EW10"
"375","11.2","11.3",0,"3 wk ahead","Bin","2020-EW10"
"376","11.3","11.4",0,"3 wk ahead","Bin","2020-EW10"
"377","11.4","11.5",0,"3 wk ahead","Bin","2020-EW10"
"378","11.5","11.6",0,"3 wk ahead","Bin","2020-EW10"
"379","11.6","11.7",0,"3 wk ahead","Bin","2020-EW10"
"380","11.7","11.8",0,"3 wk ahead","Bin","2020-EW10"
"381","11.8","11.9",0,"3 wk ahead","Bin","2020-EW10"
"382","11.9","12",0,"3 wk ahead","Bin","2020-EW10"
"383","12","12.1",0,"3 wk ahead","Bin","2020-EW10"
"384","12.1","12.2",0,"3 wk ahead","Bin","2020-EW10"
"385","12.2","12.3",0,"3 wk ahead","Bin","2020-EW10"
"386","12.3","12.4",0,"3 wk ahead","Bin","2020-EW10"
"387","12.4","12.5",0,"3 wk ahead","Bin","2020-EW10"
"388","12.5","12.6",0,"3 wk ahead","Bin","2020-EW10"
"389","12.6","12.7",0,"3 wk ahead","Bin","2020-EW10"
"390","12.7","12.8",0,"3 wk ahead","Bin","2020-EW10"
"391","12.8","12.9",0,"3 wk ahead","Bin","2020-EW10"
"392","12.9","13",0,"3 wk ahead","Bin","2020-EW10"
"393","13","100",0.002,"3 wk ahead","Bin","2020-EW10"
"394","0","0.1",0,"4 wk ahead","Bin","2020-EW10"
"395","0.1","0.2",0,"4 wk ahead","Bin","2020-EW10"
"396","0.2","0.3",0,"4 wk ahead","Bin","2020-EW10"
"397","0.3","0.4",0,"4 wk ahead","Bin","2020-EW10"
"398","0.4","0.5",0,"4 wk ahead","Bin","2020-EW10"
"399","0.5","0.6",0,"4 wk ahead","Bin","2020-EW10"
"400","0.6","0.7",0,"4 wk ahead","Bin","2020-EW10"
"401","0.7","0.8",0,"4 wk ahead","Bin","2020-EW10"
"402","0.8","0.9",0,"4 wk ahead","Bin","2020-EW10"
"403","0.9","1",0,"4 wk ahead","Bin","2020-EW10"
